Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
1.92,1.04,1.6,46.46,84.62,0.64,30.77,2.8,60.87,1.6,5.16,0.72,5.88,59.76,Ferdi Kadıoğlu,ferdi-kadioglu,Fenerbahçe,
1.25,1.31,2.62,49.46,83.9,0.28,33.33,3.7,47.45,0.63,2.79,3.87,6.65,62.9,Abdülkerim Bardakcı,abdulkerim-bardakci,Galatasaray,
2.14,1.6,2.02,28.19,74.54,2.02,32.67,2.51,46.21,0.7,3.29,0.86,4.16,63.52,Guilherme Haubert Sityá,guilherme-haubert-sitya,Konyaspor,
2.18,2.35,5.46,39.52,77.77,0.08,28.57,4.45,44.73,0.25,3.49,2.56,6.05,60.25,Emirhan Topçu,emirhan-topcu,Çaykur Rizespor,
2.51,2.32,5.23,62.14,90.81,0.0,0.0,2.71,57.75,0.07,3.44,3.24,6.68,62.35,Ousseynou Ba,ousseynou-ba,Başakşehir FK,
0.66,1.77,3.76,51.58,83.68,0.06,50.0,2.49,39.82,0.0,1.22,4.98,6.19,69.57,Victor Nelsson,victor-nelsson,Galatasaray,
1.62,2.43,3.5,47.76,84.71,0.0,0.0,4.04,56.07,0.2,2.9,2.83,5.73,63.91,Alexander Djiku,alexander-djiku,Fenerbahçe,
1.46,1.25,2.08,47.53,85.09,0.62,36.0,4.3,59.05,0.35,2.5,2.71,5.2,60.48,Kaan Ayhan,kaan-ayhan,Galatasaray,
1.89,1.42,1.47,37.68,83.26,0.53,31.25,1.26,51.06,0.89,3.63,1.47,5.11,48.74,Sacha Boey,boey-sacha,Galatasaray,
1.8,1.24,2.92,55.96,86.15,0.08,40.0,6.96,55.06,0.12,2.12,1.4,3.52,53.99,Semih Güler,semih-guler,Adana Demirspor,
1.14,1.09,3.05,57.36,89.25,0.05,14.29,2.95,52.85,0.73,2.64,3.45,6.09,65.05,Léo Duarte,leo-duarte,Başakşehir FK,
1.0,1.94,2.75,49.19,86.87,0.0,0.0,1.94,37.35,0.63,2.81,2.06,4.88,57.35,Jerome Opoku,opoku-jerome,Başakşehir FK,
1.92,1.81,2.29,37.73,80.27,0.91,17.89,1.87,39.33,0.32,2.56,0.53,3.09,47.15,Güray Vural,guray-vural,Antalyaspor,
2.11,1.67,1.96,31.14,75.75,1.16,21.33,2.98,43.62,0.22,3.13,1.31,4.44,53.04,Zeki Yavru,zeki-yavru,Yılport Samsunspor,
1.84,1.26,5.33,27.51,78.45,0.0,0.0,2.13,35.2,0.0,2.66,2.37,5.04,61.9,Arda Kızıldağ,arda-kizildag,Gaziantep FK,
1.8,1.9,1.4,36.42,81.29,0.4,17.39,1.6,51.61,0.6,3.39,0.8,4.19,47.73,Mert Müldür,mert-muldur,Fenerbahçe,
1.53,1.65,4.65,33.35,77.46,0.0,0.0,3.59,38.61,0.24,1.88,2.18,4.06,63.89,Kenneth Omeruo,kenneth-omeruo,Kasımpaşa,
1.06,1.71,4.53,32.29,85.77,0.0,0.0,2.31,50.0,0.28,1.8,2.49,4.3,63.27,Caner Osmanpaşa,caner-osmanpasa,Sivasspor,
2.25,1.15,1.46,36.07,82.73,0.36,16.22,0.97,35.56,2.79,6.38,1.09,7.47,57.75,Loide Augusto,loide-augusto,Alanyaspor,
0.84,1.0,4.32,37.26,83.0,0.0,0.0,3.37,46.38,0.21,1.58,2.11,3.68,52.63,Attila Mocsi,attila-mocsi,Çaykur Rizespor,
1.85,1.19,3.89,47.8,87.14,0.0,0.0,4.09,59.05,0.26,2.77,1.12,3.89,54.13,Ibrahim Drešević,ibrahim-dresevic,,Fatih Karagümrük
2.68,1.44,2.26,32.73,79.5,0.62,22.22,3.29,58.18,0.67,5.66,1.7,7.36,60.08,Ahmet Oğuz,ahmet-oguz,,Konyaspor
1.34,0.85,1.07,28.22,73.64,0.53,18.46,1.51,39.08,1.2,3.65,1.69,5.34,54.79,Mortadha Ben Ouanes,mortadha-ben-ouanes,,Kasımpaşa
1.8,1.14,3.23,51.64,87.53,0.3,62.5,2.39,42.55,0.3,3.17,2.39,5.57,64.58,Necip Uysal,necip-uysal,,Beşiktaş
1.93,1.74,3.54,46.83,83.13,0.0,0.0,3.66,43.07,0.93,3.29,2.61,5.9,62.91,Francisco Calvo,francisco-calvo,,Konyaspor
1.76,1.19,1.32,33.93,84.01,0.31,38.46,1.19,42.22,0.38,3.51,1.44,4.95,58.96,Jonas Svensson,jonas-svensson,,Beşiktaş
2.62,1.49,1.53,35.85,78.38,0.61,22.73,1.9,33.57,0.93,4.4,0.73,5.13,57.47,Münir Levent Mercan,munir-levent-mercan,,Fatih Karagümrük
1.55,0.89,4.88,34.76,83.93,0.07,100.0,3.7,53.76,0.15,1.77,1.77,3.55,59.26,Samba Camara,samba-camara,,Sivasspor
2.05,1.6,4.18,48.45,84.22,0.04,50.0,3.47,40.0,0.18,2.98,2.14,5.12,55.56,Veysel Sarı,veysel-sari,,Antalyaspor
1.16,1.29,4.98,44.59,88.99,0.0,0.0,2.41,49.15,0.12,1.74,2.28,4.02,67.36,Uroš Radaković,uros-radakovic,,MKE Ankaragücü
