Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1.33,1.24,5.42,2.99,24.49,0.66,50.0,0.11,1.11,8.52,1.99,1.0,31.76,0.66,Michy Batshuayi,michy-batshuayi,Fenerbahçe,
0.88,0.51,3.57,1.44,24.56,0.69,57.89,0.13,0.81,3.69,2.94,6.01,47.83,2.0,Paul Onuachu,paul-onuachu,Trabzonspor,
0.75,0.68,3.48,1.53,21.5,0.2,40.0,0.33,1.56,5.66,1.14,1.82,48.66,0.78,Mauro Icardi,mauro-icardi,Galatasaray,
0.73,0.63,4.7,1.91,15.63,0.88,46.15,0.29,0.88,3.67,2.5,3.38,50.0,1.03,Marcão,marcao,Fatih Karagümrük,
0.73,0.54,2.72,1.36,26.67,0.54,46.15,0.0,0.82,3.72,1.72,1.27,35.48,0.91,M'Baye Niang,mbaye-niang,Adana Demirspor,
0.69,0.53,3.74,1.54,18.56,0.73,41.3,0.23,0.58,4.47,4.36,2.31,46.13,3.24,Rey Manaj,rey-manaj,Sivasspor,
0.67,0.52,4.89,1.63,13.73,0.77,47.06,0.48,1.54,5.57,3.26,1.25,45.19,2.11,Mario Balotelli,mario-balotelli,Adana Demirspor,
0.67,0.69,4.81,2.07,13.89,0.73,39.29,0.33,1.24,8.85,2.44,2.64,45.78,1.14,Edin Džeko,edin-dzeko,Fenerbahçe,
0.59,0.32,2.16,1.08,27.27,2.65,58.7,0.1,1.37,6.76,6.37,0.69,45.28,2.06,Sagiv Yehezkel,sagiv-yehezkel,Antalyaspor,
0.57,0.25,2.91,1.2,19.57,2.59,53.25,0.13,1.45,11.32,6.83,0.32,54.85,2.47,Wilfried Zaha,wilfried-zaha,Galatasaray,
0.56,0.27,2.97,1.23,18.87,2.02,48.0,0.17,0.84,4.71,4.54,1.01,36.67,1.74,Semih Kılıçsoy,semih-kilicsoy,Beşiktaş,
0.56,0.71,4.44,1.67,12.5,0.56,50.0,0.0,1.11,4.44,2.78,2.22,23.68,1.67,Carlos Vinícius,carlos-vinicius,Galatasaray,
0.54,0.59,2.72,0.91,20.0,0.27,60.0,0.18,0.54,2.45,1.18,1.27,35.06,0.36,Ahmed Hassan,ahmed-hassan,Alanyaspor,
0.53,0.22,1.6,0.53,33.33,0.0,0.0,0.0,0.71,6.4,2.31,3.38,38.1,1.96,Federico Macheda,federico-macheda,MKE Ankaragücü,
0.53,0.39,2.46,1.03,21.43,0.53,45.0,0.21,1.0,6.33,2.75,2.67,44.47,0.85,Mame Thiam,mame-thiam,Pendikspor,
0.52,0.39,2.6,0.92,20.0,1.92,53.93,0.2,1.04,5.12,4.6,2.6,49.86,1.96,Nuno Da Costa,nuno-da-costa,Kasımpaşa,
