player_name,fotmob_id
Michy Batshuayi,248689
Cengiz Ünder,603477
Edin Džeko,15403
Rey Manaj,566753
M'Baye Niang,46241
Wilfried Zaha,198510
Mauro Icardi,282770
Mame Thiam,299358
Nuno Da Costa,671326
Krzysztof Piątek,543298
Adam Buksa,557396
Denis Drăguş,875305
Marius Mouandilmadji,953517
Erencan Yardımcı,1081707
Adolfo Gaich,957220
Sokol Cikalleshi,215247
Enis Destan,1197548
Serdar Dursun,317267
Ercan Kara,1072519
Riad Bajić,466826
Dušan Tadić,94267
Yusuf Barasi,1125999
Emir Kaan Gültekin,1108284
Thuram,484838
Renat Dadaşov,749737
Güven Yalçın,950417
Sergio Córdova,656530
João Figueiredo,753779
Britt Assombalonga,262554
Carlos Eduardo,174062
Rigoberto Rivas,850311
Kevin Lasagna,299886
Clinton N'Jie,409161
Brayan Riascos,523448
Barış Alper Yılmaz,890232
Philippe Keny,1045039
Jackson Muleka,938682
Carlo Holse,862716
Mendy Mamadou,948470
Taxiarchis Fountas,307446
Julien Ngoy,788711
Martin Minchev,841180
Jackson,1024561
Efecan Karaca,154441
Moryke Fofana,389132
Joelson Fernandes,1160747
Halil Dervişoğlu,938521
Burak Kapacak,939538
İrfan Can Kahveci,316544
Dal Varešanović,1078853
Kerem Aktürkoğlu,1117570
Aytaç Kara,341049
Sebastian Szymański,765466
Carlos Strandberg,455620
Louka Prip,732110
Mamadou Fall,1263370
Nani,40945
Olivier Ntcham,671159
Samu Sáiz,311630
Milot Rashica,660165
Dimitrios Pelkas,358937
Efkan Bekiroğlu,678812
Tolga Ciğerci,212881
Aylton Boa Morte,865151
Cenk Tosun,178776
Anastasios Bakasetas,200628
Robert Murić,539521
João Novais,470301
Dries Mertens,46104
Benhur Keser,880220
Abdoulay Diaby,201915
Emre Akbaba,464462
Valentin Eysseric,237631
Marcus Rohdén,309258
Enis Bardhi,592783
Yusuf Erdoğan,387474
Pedrinho,387439
Renaldo Cephas,1381623
Sam Larsson,318809
Oğuz Aydın,1092015
Can Keleş,1073569
Armin Hodžić,1083329
Oluwafisayo Dele-Bashiru,1091907
Lazar Marković,280260
Edin Višća,199302
Dario Šarić,773438
Nicolas Janvier,684938
Emre Kılınç,305679
Chandrel Massanga,1120319
Ibrahim Olawoyin,1042086
Roman Kvet,802213
Endri Çekiçi,535233
Rachid Ghezzal,210120
Haris Hajradinović,384343
Gedson Fernandes,747785
Ali Karimi,443182
Olimpiu Moruțan,837879
Alexandru Maxim,298923
Marlos Moreno,677249
Erdoğan Yeşilyurt,331524
Halil Akbunar,305202
Serdar Gürler,186919
Florian Loshaj,725418
Modou Barrow,313668
Leroy Fer,109638
Sander van de Streek,304668
Gökhan Gül,642495
Max Gradel,46349
Ogün Özçiçek,1289513
Iron Gomis,1030945
Gustavo Sauer,676447
Steven​ N'Zonzi,109621
Youssef Aït Bennasser,662076
Gökcan Kaya,470371
Kerem Demirbay,331540
Görkem Sağlam,639201
Modestas Vorobjovas,463746
Ali Kaan Güneren,821142
Valon Ethemi,948192
Salih Uçan,239061
Berat Ayberk Özdemir,955596
Benjamin Stambouli,192920
Furkan Soyalp,390642
Marko Jevtović,463591
Miguel Cardoso,864794
Batista Mendy,1078729
Alexandru Cicâldău,770163
Altin Zeqiri,1056370
Alassane Ndao,1127277
Deniz Türüç,352023
Muammer Sarıkaya,891433
Jonjo Shelvey,127130
Richard Cândido,882625
Mustafa Eskihellaç,889717
Yusuf Sarı,863858
Lucas Torreira,592909
İsmail Yüksek,1183589
Ramzi Safuri,529869
Amir Hadžiahmetović,639558
Emrah Başsan,288393
Kartal Kayra Yılmaz,1001348
Arnaud Lusamba,561866
Flavien Tait,428815
Charis Charisis,452225
Mehmet Aydın,1237634
Jakub Kałuziński,1131992
Zymer Bytyqi,306987
Sofiane Feghouli,93480
Tetê,1039534
Yunus Konak,1524063
Erdal Rakip,451909
Bakhtiyar Zaynutdinov,844541
Ömer Faruk Beyaz,1138299
Soner Dikmen,511404
Fredrik Midtsjø,172021
İbrahim Akdağ,607773
Demir Ege Tıknaz,1300653
Anastasios Chatzigiovanis,801780
Berkay Özcan,777103
Tanguy Ndombélé,773189
Otabek Shukurov,624405
Ramazan Civelek,603320
Dorukhan Toköz,643168
Oğulcan Ülgün,820089
Giorgi Aburjania,463963
Emirhan İlkhan,1301633
Mithat Pala,1183742
Josip Vuković,557681
Ferdi Kadıoğlu,774448
Abdülkerim Bardakcı,291399
Guilherme Haubert Sityá,310289
Ousseynou Ba,864066
Emirhan Topçu,873855
Victor Nelsson,776594
Alexander Djiku,407765
Kaan Ayhan,441164
Semih Güler,603529
Sacha Boey,1034808
Léo Duarte,750056
Güray Vural,95870
Loide Augusto,1240979
Ahmet Oğuz,511399
Mert Müldür,904098
Kenneth Omeruo,277849
Caner Osmanpaşa,288520
Attila Mocsi,863118
Ibrahim Drešević,772082
Arda Kızıldağ,1079065
Mortadha Ben Ouanes,712132
Zeki Yavru,362307
Francisco Calvo,272005
Jonas Svensson,171647
Münir Levent Mercan,1080172
Uroš Radaković,364855
Samba Camara,737132
Veysel Sarı,178893
Léo Dubois,536584
Necip Uysal,150133
Bünyamin Balcı,1005366
Uğurcan Yazğılı,891469
Bahadır Öztürk,644722
Andreaw Gravillon,846609
Welinton,171922
Papy Djilobodji,193866
Nuno Sequeira,191793
Aaron Appindangoyé,505942
Ömer Toprak,109615
Kamil Ahmet Çörekçi,239626
Alim Öztürk,261332
Rick Van Drongelen,690302
Guy-Marcelin Kilama,953689
Fidan Aliti,521203
Nicolas N'Koulou,149962
Jayden Oosterwolde,1174351
Simon Deli,445517
Lionel Carole,210437
Uğur Çiftçi,239777
Mehmet Yeşil,751842
Stelios Kitsiou,289395
Davide Biraschi,422719
Muhammet Taha Şahin,1339581
Cláudio Winck,267368
Nihad Mujakić,857436
Eren Elmalı,1041660
Casper Højer,394360
Arif Kocaman,1330204
Rayyan Baniya,1112763
Federico Ceccherini,244816
Joseph Attamah,533102
Florent Hadergjonaj,492132
Jure Balkovec,281866
Yusuf Özdemir,1213283
Atakan Çankaya,885223
Matěj Hanousek,438162
Halil Ibrahim Pehlivan,511400
Ľubomír Šatka,541825
Lucas Lima,268257
Onur Bulut,317713
Berkay Sülüngöz,748584
Gökhan Sazdağı,602095
Furkan Bayır,891651
Yasin Özcan,1393980
Frédéric Veseli,282287
Salem M'Bakata,950486
Serkan Asan,983401
Ali Yaşar,512728
Okan Erdoğan,1036217
Kerim Alıcı,603476
Ali Sowe,447367
