Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.77,0.77,37.5,3.7,1.63,0.34,23.4,73.91,1.81,1.29,1.2,0.95,0.43,2.67,0.43,38.71,0.95,Cengiz Ünder,cengiz-under,Fenerbahçe,
0.56,1.31,35.0,3.42,1.24,0.5,27.2,83.08,1.68,0.44,0.81,1.06,0.37,4.54,0.31,41.71,2.18,Mahmoud Trézéguet,mahmoud-trezeguet,Trabzonspor,
0.54,1.36,46.88,3.81,1.27,0.45,33.72,77.02,3.08,1.9,1.81,1.36,0.18,3.63,0.27,39.45,0.91,Hakim Ziyech,hakim-ziyech,Galatasaray,
0.53,1.6,55.38,1.78,0.93,0.36,30.73,79.82,2.31,1.29,1.95,1.47,0.98,4.88,0.93,49.81,1.95,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
0.45,1.1,47.54,2.88,1.02,0.49,20.21,66.54,2.73,1.4,1.4,1.02,0.49,3.07,0.68,43.23,0.95,Kerem Aktürkoğlu,kerem-akturkoglu,Galatasaray,
0.44,1.33,58.06,2.22,1.26,0.52,24.46,78.07,1.77,1.11,1.48,1.48,0.89,3.33,0.44,43.22,0.52,Dimitrios Pelkas,dimitrios-pelkas,Başakşehir FK,
0.42,1.81,59.3,2.02,0.85,0.67,29.63,76.86,2.27,0.89,1.38,0.89,0.32,4.0,0.35,43.46,1.31,Oğuz Aydın,oguz-aydin,Alanyaspor,
0.41,2.44,54.55,2.44,1.01,0.1,38.76,87.21,1.72,0.51,4.46,0.81,0.71,3.86,0.3,45.05,0.61,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,Beşiktaş,
0.41,0.0,0.0,0.81,0.41,0.0,32.03,77.45,0.41,0.41,1.62,1.62,0.81,3.24,0.0,34.78,1.62,Rayane Aabid,rayane-aabid,Hatayspor,
0.39,1.45,57.89,2.5,1.18,0.26,37.18,78.39,1.84,1.71,3.94,0.79,0.39,4.2,0.13,41.77,1.97,Óscar Romero,oscar-romero,Pendikspor,
0.39,1.25,54.72,2.16,0.65,0.39,33.29,82.0,1.64,0.26,1.34,0.78,0.17,2.98,0.17,48.03,0.95,Efkan Bekiroğlu,efkan-bekiroglu,MKE Ankaragücü,
0.38,0.5,65.38,2.73,0.97,0.12,36.79,82.66,1.09,0.62,2.17,1.94,0.76,3.52,1.32,57.89,1.23,Aytaç Kara,aytac-kara,Kasımpaşa,
0.38,1.32,41.79,2.3,0.75,0.14,19.04,77.74,0.85,0.19,0.75,0.61,0.38,3.43,0.75,38.03,1.55,Dal Varešanović,dal-varesanovic,Çaykur Rizespor,
0.37,1.2,46.43,2.68,1.38,0.18,25.48,78.41,1.57,0.92,1.2,1.2,0.28,3.97,1.38,40.28,1.75,Nani,nani,Adana Demirspor,
0.35,0.58,39.47,3.36,1.35,0.7,27.98,77.43,3.32,2.13,1.51,1.58,0.54,3.28,0.15,39.56,1.12,Dries Mertens,dries-mertens,Galatasaray,
0.34,0.68,34.78,1.53,0.85,0.17,22.56,73.82,1.62,1.36,1.87,1.28,0.68,2.98,0.34,37.86,1.02,Deian Sorescu,deian-sorescu,Gaziantep FK,
0.33,0.33,33.33,1.76,0.66,0.44,24.49,86.05,0.99,0.11,0.44,1.88,0.55,4.41,0.77,43.93,2.21,Mehdi Abeid,mehdi-abeid,Başakşehir FK,
0.33,0.98,37.5,2.44,0.98,0.16,40.69,86.21,2.93,1.79,2.28,1.14,0.16,4.39,0.49,50.0,2.28,Mert Hakan Yandaş,mert-hakan-yandas,Fenerbahçe,
0.31,1.88,65.22,2.07,1.13,0.38,33.67,82.39,2.13,0.38,2.82,0.5,0.25,4.76,0.5,58.33,2.44,Samu Sáiz,samu-saiz,Sivasspor,
0.3,0.45,47.37,2.63,0.71,0.3,12.53,65.96,0.91,0.1,0.45,0.66,0.05,2.32,3.13,52.17,1.36,Cenk Tosun,cenk-tosun,Beşiktaş,
0.3,1.16,54.76,2.32,0.76,0.15,31.86,80.03,0.7,0.35,1.41,0.65,0.25,2.47,1.26,38.14,0.65,Olivier Ntcham,olivier-ntcham,Yılport Samsunspor,
0.3,0.51,30.77,2.54,0.85,0.04,11.19,66.5,0.81,0.08,0.3,0.59,0.13,2.12,1.87,39.83,1.02,Carlos Strandberg,carlos-strandberg,Hatayspor,
0.3,0.3,25.71,2.63,0.99,0.56,21.28,78.33,2.37,1.51,0.92,2.4,0.49,4.11,0.26,49.26,1.41,Sebastian Szymański,sebastian-szymanski,Fenerbahçe,
0.29,2.38,50.0,2.42,0.95,0.18,14.09,69.0,1.06,0.18,0.33,1.32,0.4,4.9,1.21,42.71,1.24,Aylton Boa Morte,aylton-boa-morte,Kayserispor,
0.29,1.38,45.28,1.61,0.92,0.0,20.22,80.55,0.57,0.46,0.98,1.03,0.29,3.56,0.75,40.11,1.21,Louka Prip,prip-louka,Konyaspor,
0.28,0.94,35.71,1.4,0.37,0.28,26.76,75.46,1.31,0.56,1.59,2.06,1.03,4.3,0.37,46.3,1.31,Carlos Mané,carlos-mane,Kayserispor,
0.28,0.0,0.0,0.28,0.28,0.0,35.22,74.12,0.84,0.28,2.24,3.07,0.56,5.31,1.96,50.98,2.24,Stefano Sturaro,stefano-sturaro,Fatih Karagümrük,
0.28,0.92,62.5,1.65,0.46,0.09,32.91,80.27,1.2,0.46,2.39,0.92,1.38,2.21,1.2,35.24,0.46,Mehdi Bourabia,mehdi-bourabia,Kayserispor,
0.27,0.55,57.14,2.79,0.82,0.27,41.49,82.97,1.7,0.61,3.41,1.84,0.41,4.02,0.61,52.71,1.7,Anastasios Bakasetas,anastasios-bakasetas,Trabzonspor,
0.27,0.91,52.63,1.51,0.79,0.82,28.14,74.18,2.51,1.54,0.48,0.97,0.42,3.05,0.42,43.4,1.18,Dušan Tadić,dusan-tadic,Fenerbahçe,
0.27,0.88,47.27,1.62,0.57,0.2,11.14,66.33,1.72,0.34,0.1,0.67,0.61,2.69,1.08,42.59,1.18,Mamadou Fall,mamadou-fall,Kasımpaşa,
0.27,2.05,60.19,2.02,0.83,0.17,21.7,77.88,1.26,0.23,1.26,1.86,1.23,6.3,1.23,53.41,2.42,Ibrahim Olawoyin,ibrahim-olawoyin,Çaykur Rizespor,
0.26,0.92,63.64,1.18,0.53,0.13,20.76,76.7,1.45,0.66,2.76,0.53,0.79,1.71,0.13,45.16,0.26,Robert Murić,robert-muric,Konyaspor,
0.25,0.95,48.39,1.27,0.38,0.32,14.37,67.96,1.39,0.13,0.44,1.39,0.76,3.99,1.39,41.46,1.65,Benhur Keser,benhur-keser,Çaykur Rizespor,
0.25,0.79,55.88,2.17,0.71,0.29,47.74,83.24,1.71,1.3,3.09,2.68,0.79,4.47,1.13,47.35,1.0,Kerem Demirbay,kerem-demirbay,Galatasaray,
0.25,1.25,51.72,2.0,0.92,0.25,26.97,79.17,2.25,0.33,1.34,1.5,0.5,3.67,0.58,44.35,0.92,Younès Belhanda,younes-belhanda,Adana Demirspor,
0.24,1.17,50.88,2.1,0.81,0.12,31.52,82.32,1.49,0.97,1.69,1.33,0.36,3.95,0.16,46.36,1.45,Enis Bardhi,enis-bardhi,Trabzonspor,
0.24,2.15,47.37,0.72,0.48,0.72,26.5,85.38,2.63,0.48,0.24,0.95,0.72,4.06,0.72,40.82,0.95,Arbnor Muja,arbnor-muja,Yılport Samsunspor,
0.23,1.07,72.73,2.15,0.67,0.23,28.36,75.58,1.44,0.54,2.32,2.18,0.81,5.34,1.01,58.7,2.15,Emre Akbaba,emre-akbaba,Adana Demirspor,
0.23,1.29,91.67,1.87,0.53,0.23,45.7,86.99,1.81,1.23,3.39,1.52,0.47,3.21,0.18,50.0,0.41,Nicolas Janvier,nicolas-janvier,Alanyaspor,
0.23,1.17,37.04,2.22,0.94,0.23,23.14,82.16,2.1,0.35,0.7,0.94,0.0,4.09,0.58,46.51,1.99,Garry Rodrigues,garry-rodrigues,MKE Ankaragücü,
0.23,0.97,43.75,2.58,0.92,0.32,19.49,72.93,1.89,1.52,1.47,1.15,0.28,3.46,0.37,44.86,1.34,Milot Rashica,milot-rashica,Beşiktaş,
0.23,0.54,60.0,1.67,0.5,0.09,56.79,83.78,0.95,0.41,4.84,2.04,1.76,3.39,1.0,46.86,0.81,Tolga Ciğerci,tolga-cigerci,MKE Ankaragücü,
0.23,1.13,62.5,2.08,0.77,0.32,28.69,82.34,1.49,0.95,3.03,0.9,0.5,3.08,0.59,46.29,1.04,João Novais,joao-novais,Alanyaspor,
0.22,0.96,62.0,1.05,0.46,0.15,28.0,73.58,1.33,0.71,1.33,1.21,0.93,3.06,1.76,52.0,0.9,Mortadha Ben Ouanes,mortadha-ben-ouanes,Kasımpaşa,
0.21,1.93,47.87,1.97,0.81,0.39,15.37,71.66,1.41,0.43,1.24,0.98,0.34,3.73,0.47,47.34,0.81,Altin Zeqiri,zeqiri-altin,Çaykur Rizespor,
0.21,0.0,0.0,2.11,0.42,0.21,43.0,82.93,1.26,1.05,3.37,2.32,0.63,2.95,2.53,48.15,0.63,Soner Aydoğdu,soner-aydogdu,Yılport Samsunspor,
0.21,1.17,47.46,2.31,0.96,0.17,15.81,72.92,1.13,0.92,0.34,0.75,0.5,2.85,0.46,39.9,1.01,Can Keleş,can-keles,Fatih Karagümrük,
0.2,1.56,48.94,1.9,0.75,0.34,23.04,79.07,1.49,1.15,1.49,1.69,0.75,4.61,0.81,42.78,1.36,Ryan Mendes,ryan-mendes,Fatih Karagümrük,
0.2,1.1,44.0,2.39,0.7,0.3,20.65,76.38,0.8,0.1,0.5,0.9,0.6,2.99,0.0,42.25,1.0,Steven Mendoza,steven-mendoza,Adana Demirspor,
0.19,1.04,64.29,2.04,0.69,0.5,37.47,79.89,2.81,1.58,3.39,1.62,0.35,4.31,0.69,53.06,1.66,Valentin Eysseric,valentin-eysseric,Fatih Karagümrük,
0.19,1.28,51.28,1.22,0.64,0.13,23.51,78.42,1.41,0.7,1.02,0.9,0.51,2.69,0.26,41.07,0.58,Lazar Marković,lazar-markovic,Gaziantep FK,
0.19,0.77,80.0,2.87,0.77,0.38,49.4,81.65,1.91,0.38,1.91,3.26,1.15,4.21,0.38,41.38,0.19,Sérgio Oliveira,sergio-oliveira,Galatasaray,
0.19,2.08,66.67,1.32,0.47,0.09,21.19,86.06,1.16,0.16,0.16,0.91,0.22,3.65,0.72,47.93,0.66,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,Hatayspor,
0.19,1.81,47.52,1.55,0.45,0.19,26.19,77.14,2.22,1.13,0.75,1.13,1.28,3.73,0.19,41.94,0.79,Sam Larsson,sam-larsson,Antalyaspor,
0.19,0.93,51.02,1.15,0.44,0.41,20.36,69.62,1.07,0.85,1.33,1.74,0.7,3.18,1.41,47.69,0.52,Rigoberto Rivas,rigoberto-rivas,Hatayspor,
0.18,0.36,100.0,1.44,0.18,0.0,24.97,78.09,0.54,0.18,2.34,1.98,1.26,2.87,1.08,50.0,0.72,Mehdi Boudjemaa,mehdi-boudjemaa,Hatayspor,
0.18,0.18,50.0,0.53,0.18,0.18,37.87,84.31,1.41,0.7,2.99,1.41,1.76,3.35,0.53,48.89,1.94,Tayfun Aydoğan,tayfun-aydogan,Adana Demirspor,
0.17,1.13,50.0,1.83,0.61,0.0,21.32,79.55,0.78,0.78,0.96,0.96,1.04,3.05,0.61,38.53,0.96,Abdoulay Diaby,abdoulay-diaby,Pendikspor,
0.17,0.9,44.07,1.49,0.52,0.21,20.75,74.29,0.8,0.76,1.21,1.11,0.69,3.54,0.62,43.48,1.56,Yusuf Erdoğan,yusuf-erdogan,Adana Demirspor,
0.17,0.45,28.89,1.92,0.79,0.14,21.93,76.53,1.37,0.55,0.51,2.23,0.48,3.5,1.03,39.76,0.86,Carlo Holse,carlo-holse,,Yılport Samsunspor
0.17,1.14,71.43,1.25,0.51,0.11,28.71,79.65,1.42,0.68,2.84,1.02,0.51,3.3,0.97,48.7,1.14,Olivier Kemen,olivier-kemen,,Başakşehir FK
0.17,0.0,0.0,1.53,0.51,0.0,16.98,68.97,1.02,0.0,0.17,1.19,1.02,2.89,3.06,38.04,1.87,Armin Hodžić,armin-hodzic,,Hatayspor
0.17,1.18,66.04,1.86,0.61,0.17,30.96,79.7,1.12,0.91,2.67,2.23,0.51,4.77,0.44,45.03,1.35,Florian Loshaj,florian-loshaj,,İstanbulspor
0.17,2.23,53.33,2.4,1.06,0.17,11.45,73.48,0.78,0.11,0.28,1.51,0.73,5.19,0.78,46.72,1.45,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
